title,price,location,area,num_rooms,num_bedrooms,num_baths,Type_de_bien,Surface_de_la_parcelle,Etat,Annees,Type_du_sol,Nombre_detages,features,latitude,longitude,url
Vente villa sur 2 niv séparé avec un duplex a el menzah 5,1 200 000 TND,"El Menzah 5 à
							Ariana Ville",250,6,4,,Villa,"525
								m²",Bon état,,,,Jardin;Chauffage central,36.8625,10.19556,https://www.mubawab.tn/fr/a/8218994/vente-villa-sur-2-niv-s%C3%A9par%C3%A9-avec-un-duplex-a-el-menzah-5
A vendre villa à démolir de 905m² à 20 Mars,950 000 TND,"Le Bardo à
							Le Bardo",905,4,3,,Villa,,À rénover,,,,Jardin;Terrasse;Garage;Entre-seul,36.83017,10.13736,https://www.mubawab.tn/fr/a/8072150/a-vendre-villa-%C3%A0-d%C3%A9molir-de-905m%C2%B2-%C3%A0-20-mars
Villa inachevée avec piscine à vendre Djerba,330 000 TND,"Djerba à
							Djerba",150,5,3,,Maison,"150
								m²",Nouveau,,,,Garage;Vue sur les montagnes;Piscine;Double vitrage,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/8178865/villa-inachev%C3%A9e-avec-piscine-%C3%A0-vendre-djerba
Villa jumelée S4 avec jardin à La Soukra,850 000 TND,"La Soukra à
							La Soukra",305,5,4,,Villa,,Bon état,,,,Jardin;Garage;Entre-seul;Climatisation;Chauffage central;Cuisine équipée;Four,36.883333,10.25,https://www.mubawab.tn/fr/a/8250071/villa-jumel%C3%A9e-s4-avec-jardin-%C3%A0-la-soukra
Villa à 500m de Marina Hammamet Yasmin,960 000 TND,"Hammamet Sud à
							Hammamet",530,6,4,,Villa,,Nouveau,,Marbre,,Jardin;Terrasse;Garage;Vue sur mer;Piscine;Concierge;Meublé;Cuisine équipée,36.40107999999999,10.61457,https://www.mubawab.tn/fr/a/8043351/villa-%C3%A0-500m-de-marina-hammamet-yasmin
Villa riviera,Prix à consulter,"Djerba à
							Djerba",137,5,3,,Villa,,Nouveau,,,,Piscine,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7805080/villa-riviera
A vendre villa à Raoued,Prix à consulter,"Raoued à
							Raoued",170,1,3,,Maison,,Bon état,,,,Jardin;Terrasse;Garage,36.954444,10.191389,https://www.mubawab.tn/fr/a/7945342/a-vendre-villa-%C3%A0-raoued
A Vendre Triplex à menzeh 6,520 000 TND,"Ariana à
							Ariana Ville",230,3,3,,Villa,,Bon état,,,,Jardin;Terrasse;Ascenseur;Concierge;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,36.8625,10.19556,https://www.mubawab.tn/fr/a/7908067/a-vendre-triplex-%C3%A0-menzeh-6
Prestigieuse Villa de 680 m² à chotrana II,2 700 000 TND,"Chotrana 2 à
							La Soukra",680,1,5,,Maison,,Nouveau,,,,Jardin;Terrasse;Garage;Piscine;Concierge;Chambre rangement;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Micro-ondes,36.883333,10.25,https://www.mubawab.tn/fr/a/7411119/prestigieuse-villa-de-680-m%C2%B2-%C3%A0-chotrana-ii
A Vendre une villa à Menzah 9 A,Prix à consulter,"El Menzah 9 à
							El Menzah",677,2,5,,Villa,,Bon état,,,,Jardin;Terrasse;Garage;Concierge;Chambre rangement;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,36.8355152,10.2241758,https://www.mubawab.tn/fr/a/7873869/a-vendre-une-villa-%C3%A0-menzah-9-a
À vendre: Charmante maison à Hammamet,Prix à consulter,"Hammamet Nord à
							Hammamet",470,5,3,,Maison,,Bon état,,Carrelage,,Jardin;Terrasse;Garage;Chambre rangement;Antenne parabolique;Double vitrage;Porte blindée;Cuisine équipée,36.40775990894566,10.617578727528146,https://www.mubawab.tn/fr/a/7950085/%C3%A0-vendre-charmante-maison-%C3%A0-hammamet
Duplex inachevée a boumhel,500 000 TND,"Bou Mhel à
							Boumhel Bassatine",400,3,3,,Villa,,Bon état,,,,Jardin;Vue sur les montagnes;Piscine,36.57724,10.34246,https://www.mubawab.tn/fr/a/7898546/duplex-inachev%C3%A9e-a-boumhel
Villa menzah 6,Prix à consulter,"El Menzah 6 à
							Ariana Ville",605,1,5,,Villa,,Bon état,,,,Garage,36.8625,10.19556,https://www.mubawab.tn/fr/a/7949012/villa-menzah-6
Villa à La Marsa,980 000 TND,"Cité des Juges à
							La Marsa",320,5,4,,Maison,,Bon état,,Marbre,,Jardin;Terrasse;Garage;Chambre rangement;Salon européen;Climatisation;Chauffage central;Double vitrage;Porte blindée;Cuisine équipée,36.876389,10.325278,https://www.mubawab.tn/fr/a/7891494/villa-%C3%A0-la-marsa
Maison à vendre Riadh 2 borj cedria,480 000 TND,"Ben Arous à
							Ben Arous",312,4,3,,Maison,,Bon état,,Marbre,,Terrasse;Garage;Climatisation;Chauffage central;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,36.77228,10.22122,https://www.mubawab.tn/fr/a/7951534/maison-%C3%A0-vendre-riadh-2-borj-cedria
Villa respect,479 856 TND,"Djerba à
							Djerba",145,5,3,,Villa,,Nouveau,,Carrelage,,Jardin;Piscine;Cuisine équipée,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7894010/villa-respect
Prestigieuse Villa à vendre à Carthage Hannibal,Prix à consulter,"Les Jardins de Carthage à
							Le Kram",800,,5,,Maison,,,,,,Jardin;Ascenseur;Entre-seul,36.8555704,10.291834,https://www.mubawab.tn/fr/a/7952087/prestigieuse-villa-%C3%A0-vendre-%C3%A0-carthage-hannibal
Une Villa à Vendre,1 150 000 TND,"Cité El Khalil à
							La Marsa",420,4,3,,Villa,,Nouveau,,,,Jardin;Terrasse;Garage;Piscine;Climatisation;Chauffage central;Sécurité;Double vitrage;Cuisine équipée,36.876389,10.325278,https://www.mubawab.tn/fr/a/7958542/une-villa-%C3%A0-vendre
RDC et 1er ETAGE indépendant au centre ville,360 000 TND,"Bab Jazira à
							Tunis",190,8,5,,Maison,"100
								m²",Bon état,,Carrelage,,Terrasse;Entre-seul;Antenne parabolique;Cuisine équipée,36.79204457625508,10.177706315912891,https://www.mubawab.tn/fr/a/7958626/rdc-et-1er-etage-ind%C3%A9pendant-au-centre-ville
A vendre Villa avec un étage à Cité Riadh1 Kélibia,650 000 TND,Kélibia,350,10,6,,Villa,,Nouveau,,,,Jardin;Cuisine équipée,36.8493,11.0918,https://www.mubawab.tn/fr/a/7954031/a-vendre-villa-avec-un-%C3%A9tage-%C3%A0-cit%C3%A9-riadh1-k%C3%A9libia
A vendre une villa S5 à Cité Al Fetha Kélibia,650 000 TND,Kélibia,250,6,5,,Villa,,Nouveau,,,,Jardin;Terrasse;Garage;Climatisation;Chauffage central;Cuisine équipée,36.8493,11.0918,https://www.mubawab.tn/fr/a/7847217/a-vendre-une-villa-s5-%C3%A0-cit%C3%A9-al-fetha-k%C3%A9libia
A vendre Villa et 2 appartements à Haouaria plage,780 000 TND,El Haouaria,1300,9,7,,Villa,,Bon état,,,,Jardin;Terrasse;Garage;Vue sur mer;Concierge;Climatisation;Chauffage central;Cuisine équipée,37.05,11.016667,https://www.mubawab.tn/fr/a/7920991/a-vendre-villa-et-2-appartements-%C3%A0-haouaria-plage
"A vendre villa à la plage vue sur mer, Beni Khiar",650 000 TND,"Beni Khiar à
							Beni Khiar",350,5,4,,Villa,,Bon état,,,,Terrasse;Garage;Vue sur mer;Entre-seul;Climatisation;Chauffage central;Cuisine équipée,36.47,10.78,https://www.mubawab.tn/fr/a/7925652/a-vendre-villa-%C3%A0-la-plage-vue-sur-mer-beni-khiar
A Vendre Une somptueuse demeure à Mutuelle Ville,Prix à consulter,"Mutuelle Ville à
							El Menzah",770,1,7,,Maison,,Nouveau,,Marbre,,Jardin;Terrasse;Garage;Ascenseur;Piscine;Concierge;Chambre rangement;Salon européen;Cheminée;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,36.845235,10.164723,https://www.mubawab.tn/fr/a/7926983/a-vendre-une-somptueuse-demeure-%C3%A0-mutuelle-ville
A Vendre Penthouse S4 à Cité Ennasr,Prix à consulter,"Cité Ennasr 2 à
							Ariana Ville",283,1,3,,Villa,,Bon état,,,,Terrasse;Garage;Ascenseur;Concierge;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,36.8625,10.19556,https://www.mubawab.tn/fr/a/7940245/a-vendre-penthouse-s4-%C3%A0-cit%C3%A9-ennasr
A Vendre Villa à Cité El Fawz,Prix à consulter,"Les Jardins d'El Menzah 2 à
							Ariana Ville",519,5,5,,Maison,,Nouveau,,,,Jardin;Terrasse;Garage;Piscine;Chambre rangement;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Double vitrage;Porte blindée;Cuisine équipée;Four,36.8625,10.19556,https://www.mubawab.tn/fr/a/7950175/a-vendre-villa-%C3%A0-cit%C3%A9-el-fawz
Vente villa de luxe vue mer à Marina Gammarth,2 800 000 TND,"Gammarth à
							La Marsa",330,5,3,,Villa,,Bon état,,,,Jardin;Terrasse;Garage;Ascenseur;Vue sur mer;Vue sur les montagnes;Concierge;Chambre rangement;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,36.876389,10.325278,https://www.mubawab.tn/fr/a/7957833/vente-villa-de-luxe-vue-mer-%C3%A0-marina-gammarth
A Vendre Villa à jardin d'el Menzah 1,630 000 TND,"Les Jardins d'El Menzah 1 à
							Ariana Ville",230,2,3,,Maison,,Bon état,,,,Jardin;Garage;Concierge;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,36.8625,10.19556,https://www.mubawab.tn/fr/a/7941331/a-vendre-villa-%C3%A0-jardin-d-el-menzah-1
Superbe Villa à Khzema à vendre sousse,Prix à consulter,Khezama Ouest,600,5,4,,Maison,,Nouveau,,Marbre,,Jardin;Terrasse;Garage;Meublé;Climatisation;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,35.7218,10.6179,https://www.mubawab.tn/fr/a/7962592/superbe-villa-%C3%A0-khzema-%C3%A0-vendre-sousse
A vendre villa moderne a la soukra,1 100 000 TND,"La Soukra à
							La Soukra",330,5,4,,Villa,,Nouveau,,Marbre,,Jardin;Terrasse;Garage;Piscine;Concierge;Chambre rangement;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Porte blindée,36.88833000000001,10.27417,https://www.mubawab.tn/fr/a/7963777/a-vendre-villa-moderne-a-la-soukra
Villa s4 directement promoteur,850 000 TND,"Riadh al Andalous à
							Ariana Ville",450,4,4,,Maison,,Nouveau,,Marbre,,Jardin;Garage,36.8805752,10.1717264,https://www.mubawab.tn/fr/a/7963902/villa-s4-directement-promoteur
,,,,,,,,,,,,,,36.841022878774695,10.3550539810169,https://www.mubawab.tn/fr/p/4068/r%C3%A9sidence-des-parcs-aux-jardins-de-carthage
Villa de maitre à vendre à Sidi Bou Said,Prix à consulter,Carthage,2314,,,,Maison,,,,,,Jardin;Terrasse;Garage;Piscine;Concierge,36.8566,10.3258,https://www.mubawab.tn/fr/a/7965563/villa-de-maitre-%C3%A0-vendre-%C3%A0-sidi-bou-said
Vente villa vue mer et montagnes à Haouaria plage,790 000 TND,El Haouaria,1200,9,7,,Villa,,Bon état,,,,Jardin;Terrasse;Garage;Vue sur mer;Vue sur les montagnes;Chambre rangement;Meublé;Salon européen;Antenne parabolique;Climatisation;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,37.05,11.016667,https://www.mubawab.tn/fr/a/7940545/vente-villa-vue-mer-et-montagnes-%C3%A0-haouaria-plage
Villa à chotrana 3 à vendre,Prix à consulter,"Chotrana 3 à
							La Soukra",3000,8,6,,Villa,,Bon état,,Marbre,,Jardin;Terrasse;Garage;Piscine;Concierge;Chambre rangement;Climatisation;Chauffage central;Sécurité;Double vitrage;Cuisine équipée,36.883333,10.25,https://www.mubawab.tn/fr/a/7883862/villa-%C3%A0-chotrana-3-%C3%A0-vendre
Villa Borj louzir,430 000 TND,"Borj Louzir à
							La Soukra",300,10,7,,Maison,,Bon état,,Parquet,,Jardin;Terrasse;Garage;Chambre rangement;Antenne parabolique;Climatisation;Double vitrage;Porte blindée,36.872102665194426,10.210600227201214,https://www.mubawab.tn/fr/a/7888975/villa-borj-louzir
Duplex S3 à sidi Bousaid,2 500 000 TND,"La Marsa à
							La Marsa",,,4,,Maison,,,,,,,36.8941992,10.2762232,https://www.mubawab.tn/fr/a/7978310/duplex-s3-%C3%A0-sidi-bousaid
Belle maison à vendre,320 000 TND,Utique,280,8,4,,Maison,,Bon état,,Carrelage,,Jardin;Terrasse;Garage;Chambre rangement;Meublé;Salon européen;Antenne parabolique;Climatisation;Double vitrage;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,37.0075015,9.9465077,https://www.mubawab.tn/fr/a/7978950/belle-maison-%C3%A0-vendre
Appartement à l'achat. Superficie 150 m²,250 000 TND,Dar Châabane,303,,6,,Maison,"253
								m²",À rénover,,,,,37.0492511,10.966394500000002,https://www.mubawab.tn/fr/a/7979070/appartement-%C3%A0-l-achat-superficie-150-m%C2%B2
Villa sunnyside,477 200 TND,"Djerba à
							Djerba",145,5,3,,Villa,,Nouveau,,,,Jardin;Piscine,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7805113/villa-sunnyside
Villa rocca,739 070 TND,"Djerba à
							Djerba",240,6,3,,Villa,,Nouveau,,Carrelage,,Jardin;Terrasse;Garage;Vue sur mer;Piscine;Chauffage central;Porte blindée;Cuisine équipée,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7894458/villa-rocca
Villa hayas,Prix à consulter,"Djerba à
							Djerba",167,5,3,,Villa,,Nouveau,,,,Jardin;Piscine;Meublé;Salon européen;Climatisation;Sécurité;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7534039/villa-hayas
Duplex dans une résidence avec piscine zone Ribat,480 000 TND,"Hammamet à
							Hammamet",155,4,3,,Maison,,Bon état,,,,Terrasse;Garage;Piscine;Concierge;Chambre rangement;Salon européen;Antenne parabolique;Climatisation;Double vitrage;Porte blindée;Cuisine équipée,36.40108,10.61457,https://www.mubawab.tn/fr/a/7926315/duplex-dans-une-r%C3%A9sidence-avec-piscine-zone-ribat
Maison de luxe à vendre à Route sokra. 4 belles chambres. Jardin et terrasse,410 000 TND,"Route sokra à
							Sfax Ville",350,5,4,,Villa,,Bon état,,Marbre,,Jardin;Terrasse;Garage;Chambre rangement;Antenne parabolique;Chauffage central;Sécurité;Cuisine équipée;Four;Machine à laver;Micro-ondes,34.72653894276804,10.730705173084312,https://www.mubawab.tn/fr/a/7574301/maison-de-luxe-%C3%A0-vendre-%C3%A0-route-sokra-4-belles-chambres-jardin-et-terrasse
Vente Villa Tany S4 Hammamet nord,1 100 000 TND,"Hammamet Nord à
							Hammamet",347,5,4,,Villa,,Bon état,,,,Jardin;Terrasse;Garage;Piscine;Climatisation;Chauffage central,36.40108,10.61457,https://www.mubawab.tn/fr/a/7822619/vente-villa-tany-s4-hammamet-nord
Somptueuse maison à vendre à Kalaat Landalous. Surface totale 465 m². Terrasse et jardin,410 000 TND,"Kalaat Landalous à
							Kalaat Landalous",465,1,4,,Villa,,Bon état,,,,Jardin;Terrasse;Garage;Chambre rangement;Antenne parabolique;Climatisation;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,37.0618319,10.1199168,https://www.mubawab.tn/fr/a/7918059/somptueuse-maison-%C3%A0-vendre-%C3%A0-kalaat-landalous-surface-totale-465-m%C2%B2-terrasse-et-jardin
Kalaat El Andalouse Ariana,415 000 TND,"Kalaat Landalous à
							Kalaat Landalous",466,2,4,,Villa,,Bon état,,,,Jardin;Terrasse;Garage;Chambre rangement;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Cuisine équipée,37.0618319,10.1199168,https://www.mubawab.tn/fr/a/7918065/kalaat-el-andalouse-ariana
Cité chaker Ariana,480 000 TND,"Cité Chaker à
							Raoued",120,2,6,,Maison,,Bon état,,,,Jardin;Chambre rangement;Meublé;Salon européen;Antenne parabolique;Climatisation;Double vitrage;Porte blindée,36.954444,10.191389,https://www.mubawab.tn/fr/a/7873105/cit%C3%A9-chaker-ariana
Cité Tarek Ebn Ziad kalaat El Andalouse Ariana,250 000 TND,"Cité Tarek Ibn Zied à
							Kalaat Landalous",210,1,4,,Villa,,Bon état,,,,Jardin;Terrasse;Antenne parabolique;Double vitrage,37.0618319,10.1199168,https://www.mubawab.tn/fr/a/7875132/cit%C3%A9-tarek-ebn-ziad-kalaat-el-andalouse-ariana
Urgent vend maison familiale 2 etages,100 000 EUR,Sijoumi,250,7,4,,Maison,,Bon état,,Carrelage,,Terrasse;Salon européen;Chauffage central;Porte blindée;Cuisine équipée,36.81881,10.16596,https://www.mubawab.tn/fr/a/7704856/urgent-vend-maison-familiale-2-etages
Luxueuse villa style américain à vendre ou louer,Prix à consulter,"Hammam Sousse à
							Hammam Sousse",400,4,4,,Maison,,Nouveau,,,,Garage;Piscine;Chauffage central,35.8569,10.5972,https://www.mubawab.tn/fr/a/7919267/luxueuse-villa-style-am%C3%A9ricain-%C3%A0-vendre-ou-louer
A vendre une maison arabe à Medina Tunis,470 000 TND,La Medina,103,7,6,,Maison,,Bon état,,,,Terrasse,36.81881,10.16596,https://www.mubawab.tn/fr/a/7704654/a-vendre-une-maison-arabe-%C3%A0-medina-tunis
Villa chinho,372 400 TND,"Djerba à
							Djerba",120,5,3,,Villa,,Bon état,,Marbre,,Jardin;Terrasse;Piscine;Meublé;Antenne parabolique;Climatisation;Sécurité;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7883103/villa-chinho
Villa AKITA F4 d'architecte avec grand jardin,446 500 TND,"Djerba à
							Djerba",165,5,3,,Villa,,Nouveau,,Marbre,,Jardin;Terrasse;Piscine;Porte blindée;Cuisine équipée,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7492757/villa-akita-f4-d-architecte-avec-grand-jardin
Houch les veterans vendre a djerba,245 700 TND,"Djerba à
							Djerba",850,6,3,,Maison,,Bon état,,Carrelage,,Jardin;Terrasse,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7884786/houch-les-veterans-vendre-a-djerba
Villa serenity,Prix à consulter,"Djerba à
							Djerba",280,6,4,,Maison,,Bon état,,,,Jardin,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7805118/villa-serenity
Villa kabana,869 300 TND,"Djerba à
							Djerba",270,6,4,,Villa,,Nouveau,,Marbre,,Jardin;Terrasse;Vue sur mer;Piscine;Porte blindée;Cuisine équipée,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7775144/villa-kabana
Villa sun set,Prix à consulter,"Djerba à
							Djerba",115,5,3,,Villa,,Bon état,,,,Jardin;Piscine;Chambre rangement;Sécurité;Porte blindée;Cuisine équipée,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/7735627/villa-sun-set
Villa a vendre,Prix à consulter,"La Soukra à
							La Soukra",800,4,3,,Villa,,Nouveau,,,,Jardin;Terrasse;Piscine;Climatisation;Chauffage central;Sécurité;Double vitrage;Cuisine équipée;Four,36.883333,10.25,https://www.mubawab.tn/fr/a/7822270/villa-a-vendre
Maison de luxe à vendre à Sahloul. Surface totale 340 m². Belle terrasse et jardin,Prix à consulter,"Sahloul à
							Sousse Ville",340,,6,,Villa,,Bon état,,Carrelage,,Jardin;Terrasse;Garage,35.832483,10.5915341,https://www.mubawab.tn/fr/a/7936289/maison-de-luxe-%C3%A0-vendre-%C3%A0-sahloul-surface-totale-340-m%C2%B2-belle-terrasse-et-jardin
Maison à la vente. 3 chambres agréables. Terrasse et jardin.,Prix à consulter,Jendouba Ville,300,10,3,,Maison,,Bon état,,,,Jardin;Terrasse;Garage,36.613019278444526,8.721353826743892,https://www.mubawab.tn/fr/a/7936365/maison-%C3%A0-la-vente-3-chambres-agr%C3%A9ables-terrasse-et-jardin-
Villa à Vendre,1 400 000 TND,"El Menzah 9 à
							El Menzah",677,6,5,,Villa,,Bon état,,,,Jardin;Terrasse;Garage;Chambre rangement;Climatisation;Chauffage central;Cuisine équipée,36.845235,10.164723,https://www.mubawab.tn/fr/a/7876947/villa-%C3%A0-vendre
Villa à vendre,Prix à consulter,"La Soukra à
							La Soukra",2670,7,6,,Villa,,Bon état,,Marbre,,Jardin;Terrasse;Garage;Piscine;Chambre rangement;Cheminée;Climatisation;Chauffage central;Sécurité;Double vitrage;Cuisine équipée,36.883333,10.25,https://www.mubawab.tn/fr/a/7824652/villa-%C3%A0-vendre
,,,,,,,,,,,,,,36.85455755057528,10.298342153248942,https://www.mubawab.tn/fr/p/4518/r%C3%A9sidence-mallorca-%E2%80%93-jardins-de-carthage
A vendre maison Titrée à Salloum,140 000 EUR,Bouficha,400,10,6,,Maison,"120
								m²",Nouveau,,Carrelage,,Jardin;Terrasse;Garage;Vue sur mer;Vue sur les montagnes;Antenne parabolique;Climatisation;Sécurité;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,36.30084,10.45554,https://www.mubawab.tn/fr/a/7936333/a-vendre-maison-titr%C3%A9e-%C3%A0-salloum
Maison avec piscine style Djerbien,185 000 EUR,"Djerba à
							Djerba",,4,3,,Villa,,Nouveau,,Marbre,,Jardin;Terrasse;Garage;Piscine;Chambre rangement;Salon européen;Antenne parabolique;Cheminée;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,33.8075978,10.8451467,https://www.mubawab.tn/fr/a/6728132/maison-avec-piscine-style-djerbien
Villa moderne avec piscine et jardin à vendre aux Jardins de Carthage,3 400 000 TND,"Les Jardins de Carthage à
							Le Kram",700,,5,,Maison,,,,,,Jardin;Terrasse;Piscine;Entre-seul;Cheminée,36.8555704,10.291834,https://www.mubawab.tn/fr/a/7929203/villa-moderne-avec-piscine-et-jardin-%C3%A0-vendre-aux-jardins-de-carthage
Vente villa à Carthage,2 200 000 TND,"Carthage Plage à
							Carthage",456,6,5,,Villa,,Bon état,,,,Jardin;Terrasse;Garage;Vue sur mer;Chambre rangement;Antenne parabolique;Climatisation;Chauffage central;Porte blindée;Cuisine équipée,36.8566,10.3258,https://www.mubawab.tn/fr/a/7869939/vente-villa-%C3%A0-carthage
Vente Maison Livia S2,270 000 TND,"Hammamet Nord à
							Hammamet",170,3,2,,Maison,,Bon état,,,,Garage;Meublé;Salon européen;Climatisation;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,36.40108,10.61457,https://www.mubawab.tn/fr/a/7939167/vente-maison-livia-s2
Villa haut standing,890 000 TND,Soliman,605,3,6,,Villa,,Bon état,,Marbre,,Jardin;Terrasse;Garage;Vue sur mer;Vue sur les montagnes;Entre-seul;Antenne parabolique;Climatisation;Double vitrage;Cuisine équipée;Machine à laver,36.6927,10.4918,https://www.mubawab.tn/fr/a/7944322/villa-haut-standing
A vendre étage de villa à Mannouba titre bleu,Prix à consulter,"La Manouba à
							La Manouba",200,1,4,,Villa,,Nouveau,,Marbre,,Terrasse;Vue sur les montagnes;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Porte blindée;Cuisine équipée,36.77855,10.05538,https://www.mubawab.tn/fr/a/7945331/a-vendre-%C3%A9tage-de-villa-%C3%A0-mannouba-titre-bleu
Triplex pieds dans l'eau à kelibia,700 000 TND,Kélibia,300,6,5,,Villa,,Bon état,,,,Terrasse;Vue sur mer,36.8493,11.0918,https://www.mubawab.tn/fr/a/8219991/triplex-pieds-dans-l-eau-%C3%A0-kelibia
